title_id,genre,sort_code,weekdays,length,subscribers,rating,views,likes,status,daily_pass,title,authors,synopsis,weekdays_all,sort_code_likes,sort_code_subscribers,sort_code_rating,sort_code_views
66,ACTION,3,FRIDAY,534,2549061,9.7,701944492,26875819,ONGOING,FALSE,The God of High School,Yongje Park,"Mori Jin is a high school student and Taekwondo specialist who enters ""The God of High School,"" a fighting tournament that promises the winner anything they want. What began as a  competition to seek out the best high school fighter soon reveals itself to be part of a much greater plot that goes beyond Mori's wildest imagination. What will he give to become a true god?",FRIDAY,3,1,44,0
958,SLICE_OF_LIFE,0,FRIDAY,705,2214952,9.73,695733568,55951558,ONGOING,FALSE,My Giant Nerd Boyfriend,fishball,"Having a boyfriend who's a full foot taller than you might seem adorable at first, but it usually just ends up causing a whole bunch of minor inconveniences. Follow Fishball as she navigates the Malaysian life with her 6'5"" geeky boyfriend.","MONDAY,WEDNESDAY,FRIDAY",0,2,34,1
986,DRAMA,1,FRIDAY,181,4487057,9.77,545598384,31688277,ONGOING,FALSE,I Love Yoo,Quimchee,"Dogged by pain and misfortune from the very beginning, Shin-Ae decides she wants nothing to do with people nor anything to do with romance. Although content with her unsocial, boring, loveless existence, her lifestyle is challenged after she ruins an unsuspecting strangers' clothes.",FRIDAY,1,0,17,2
88,ACTION,5,FRIDAY,397,1991707,9.61,418286603,18286211,ONGOING,FALSE,The Gamer,"Sangyoung Seong,Sang-A","Jihan Han is your typical high school student -- minus the fact the he??s acquired the special ability to view the world around him as a video-game. Not long after this discovery, he stumbles upon a hidden world filled with others just like him. Now, amidst juggling homework and completing quests, Jihan must learn how to navigate his newfound power in order to level up in life.",FRIDAY,5,4,64,3
1102,COMEDY,2,FRIDAY,354,2032179,9.74,403083181,27870057,HIATUS,FALSE,Boyfriend of the Dead,Ushio,"She??s a smart, independent young woman who??s kicking ass and struggling to make her way through the middle of the zombie apocalypse. Just her luck: one day she goes out searching for food and shelter and ends up finding a boyfriend instead. And, oh yeah, because modern love isn??t hard enough?¦he??s UNDEAD!","TUESDAY,FRIDAY",2,3,29,4
1159,SLICE_OF_LIFE,4,FRIDAY,617,859974,9.53,260202872,18319320,COMPLETED,FALSE,Small World,Wonsun Jin,What do you do when you're having a bad day? Need a hug? Or just a laugh? Call your boyfriend of course! Follow along with Robin and Julien as they navigate in their own small world.,"TUESDAY,FRIDAY,SUNDAY",4,11,80,5
2616,SLICE_OF_LIFE,6,FRIDAY,100,1929145,9.38,240388083,15656813,HIATUS,FALSE,Boyfriends.,refrainbow,A comic about getting yourself a boyfriend... or multiple boyfriends! Four college students begin a polyamorous relationship and navigate the adventure that is their dating life!,"TUESDAY,FRIDAY",6,5,111,6
1221,ACTION,7,FRIDAY,311,1288264,9.76,220386442,14840503,ONGOING,FALSE,Hardcore Leveling Warrior,Sehoon Kim,"Known as Hardcore Leveling Warrior, Ethan is the #1 player of the world's biggest game, Lucid Adventure. But when a mysterious player kills Ethan and forces his character back to level 1, he will do anything to get back on top. New friends and old foes, as well as mysterious forces and his own dark past, will follow him as he does his best to take back what was once his.",FRIDAY,7,7,22,7
1513,DRAMA,9,FRIDAY,193,799717,9.04,130842289,11551389,HIATUS,FALSE,Acception,Colourbee,"With his rainbow-colored hair and love of all things fashion, Arcus is anything BUT your average teenager.  He??s an upbeat independent thinker, proud fashionista, and like the rest of us, is just looking for a few friends to call his own.  
Acception may be Arcus??story ??but it??s all OUR stories too - and it is for anyone who??s ever struggled to fit in, find love, or thought that High School was pretty much the worst thing ever invented.","TUESDAY,FRIDAY",9,14,137,8
658,COMEDY,12,FRIDAY,809,328398,9.49,114159892,8491876,COMPLETED,FALSE,Behind the GIFs,"AC Stuart,Kat Swenski","While exploring the dusty catacombs of a Pharaoh's tomb, intrepid explorers AC Stuart and Kat Swenski discovered an ancient relic that imbued them with the power to see the story behind any animated GIF. In a separate incident, they were bitten by a radioactive cartoonist. They now use their combined powers to explore the truth Behind the GIF. ","TUESDAY,WEDNESDAY,THURSDAY,FRIDAY",12,53,92,9
1498,COMEDY,10,FRIDAY,125,1256519,9.82,110430867,11198732,HIATUS,FALSE,Love Advice from the Great Duke of Hell,unfins,"The girl of your dreams barely knows you exist. Your friends can??t help. Your family is clueless. So where do you turn for love advice? Who can provide you with that essential assistance for the lovelorn?  If you??re average everyday teenager Paul, you summon a powerful demon from deep in the recesses of Hell and frankly, hope for the best.  ",FRIDAY,10,8,9,10
907,COMEDY,13,FRIDAY,664,326353,9.34,102425118,8234145,COMPLETED,FALSE,dustinteractive,Dustin Rogers,Dustin squiggles about being Frank.,"MONDAY,WEDNESDAY,FRIDAY",13,54,115,11
425,FANTASY,11,FRIDAY,21,845695,9.8,98950671,9292105,COMPLETED,TRUE,Hooky,M?­riam Bonastre Tur,"Dani and Dorian have missed the bus of the school of magic. Now, they must find someone who teach them how to be a great and good witches... Or maybe not.??
421,Where Tangents Meet,ROMANCE,instantmiso,THURSDAY,8,1196536,9.73,92203825,2859163,COMPLETED,True,As Landon and Rachelle venture into falling in love with one another",FRIDAY,11,12,11,12
2186,ROMANCE,8,FRIDAY,129,1239608,9.66,97348298,12816424,COMPLETED,FALSE,The Makeup Remover,Lee Yone,"After years of being told to focus on studying, Yeseul feels lost when she starts college and is suddenly expected to pay attention to makeup. When a chance encounter with brilliant makeup artist Yuseong leads to her taking part in a televised makeup competition, Yeseul begins to question the role that makeup and appearance play in society.",FRIDAY,8,9,55,13
2159,FANTASY,15,FRIDAY,58,1288903,9.76,71376519,6387667,HIATUS,FALSE,Suitor Armor,Purpah,"Lady-in-waiting, Lucia believes getting through the royal wedding will be the toughest part of her new life. That is until she finds herself falling head over heels with Modeus, an up-and-coming knight to the king's guard. With her newfound interest, she is quickly awakened to the mysteries of the kingdom when she learns Modeus is in fact an enchanted suit of armor without a soul. Could there be more to him than just shining armor? ",FRIDAY,15,6,21,14
523,SLICE_OF_LIFE,20,FRIDAY,742,189642,9.66,65727238,4641126,COMPLETED,FALSE,Lunarbaboon,Lunarbaboon,Lunarbaboon is a half man/half moon monkey trying to make sense of it all. ,"MONDAY,TUESDAY,FRIDAY",20,87,57,15
1572,SPORTS,18,FRIDAY,151,667849,9.76,57102734,4927919,ONGOING,FALSE,No Scope,ZOYANG,"PSI BOND: it??s the hottest online game in the world. Self-confident high schooler Suho Kang is a Grand Master, a title only the top 1% of players can achieve. He decides to take clueless Doyoon Lee, a loner who may or may not be a gaming genius, under his wing. Join them on the battlefield of PSI BOND, where high-speed connections and high school will never be the same again.",FRIDAY,18,19,23,16
1566,SUPERNATURAL,14,FRIDAY,125,769418,9.72,55792927,7113811,ONGOING,FALSE,Muted,Miranda Mundt,"On the full moon of her 21st year, the young witch, Camille Severin, is expected to perform the traditional ritual to summon forth a winged demon for her families success and prosperity. But when the ritual goes wrong, it reveals the terrifying truths about herself and the secrets that threaten to tear her family apart. ",FRIDAY,14,16,37,17
700,SF,26,FRIDAY,13,593913,9.81,55771058,3320749,COMPLETED,TRUE,Nano List,Songah Min,"Milo lives in a world where interacting with androids is completely normal. And now, he lives with TWO androids built by his sister. How safe is he living with androids who have deadly strength? Why did his sister gift him a ""bodyguard android?"" Well, he's about to find out the hard way.",FRIDAY,26,23,10,18
487,SLICE_OF_LIFE,22,FRIDAY,500,185755,9.44,52961208,3579406,COMPLETED,FALSE,Doodle for Food,Megan McKay,Cute and funny comics with a pinch of biting humor.,"THURSDAY,FRIDAY",22,89,106,19
1185,SUPERNATURAL,33,FRIDAY,5,884156,9.75,46300970,2881903,COMPLETED,TRUE,My Boo,Jeongseo,When you have an invisible roommate.,"MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",33,10,24,20
405,FANTASY,35,FRIDAY,271,194709,9.73,42490487,2627944,COMPLETED,FALSE,Newman,Josh Ulrich,"This isn't your average workplace relationship. It's not every day you fall for a girl who accidentally turns you into her love slave, but that's not half as scary as meeting her mother. Oh, and did we mention the monsters? There's lots of those.
",FRIDAY,35,85,36,21
867,FANTASY,31,FRIDAY,149,538397,9.54,41480157,2978816,HIATUS,FALSE,Athena Complex,Kaisar,"Suffering from heartbreak after being rejected by Poseidon, goddess of wisdom Athena becomes human to seek revenge... but as a high school boy. There she plots to befriend Poseidon??s reincarnation, Adrian, who doesn??t have the slightest clue about the world of gods. But will her sweet vengeance be thwarted by other opposing forces, or will her own one-sided love hinder her plans?",FRIDAY,31,27,79,22
98,SUPER_HERO,30,FRIDAY,9,363877,9.74,39462560,3131238,COMPLETED,TRUE,I Don't Want This Kind of Hero,samchon,"Naga, a high school student with psychic powers, gets recruited into the crime-fighting organization SPOON. He and his teammates Hyena and Sasa work together to save the world. Can they defeat KNIFE and find world peace?",FRIDAY,30,44,30,23
1882,DRAMA,16,FRIDAY,110,611417,9.71,37379591,5676774,ONGOING,FALSE,Lost in Translation,Jjolee,"The up-and-coming K-pop group Mayhem is steadily climbing the charts, but fame doesn't come for free. Bad Boy front man of the group Wyld knows this all too well. Forced to take on a controversial persona behind his fellow members' backs to help keep the momentum going, can Wyld keep sight of himself beneath all the lies and scandals? Or will he become his own false persona?",FRIDAY,16,21,42,24
2049,DRAMA,19,FRIDAY,95,794487,9.71,37177988,4883635,ONGOING,FALSE,"Mom, I'm Sorry","MiTi,GUGU","??Mom, I??m sorry. Please don??t die.??When Henry realizes death is at his mother??s doorstep, he strikes a deal with a lifespan dealer to give years of his own life to his ailing mother. Now, his mother is a 20-year-old college student with a full life ahead of her, and Henry devotes his remaining days to helping her live life to the fullest. But things turn complicated when his friend falls in love with her!",FRIDAY,19,15,41,25
2406,ROMANCE,17,FRIDAY,102,528468,9.84,34257231,5550558,ONGOING,FALSE,Romance 101,Namsoo,"Bareum??s planner might be full, but one thing she desperately needs in her diary is a date. When she is lured into joining a programming club by her friend??s hot coworker, it looks like there might be hope for her. But will her inexperience lead to her downfall? And why does she keep running into his bad-tempered friend instead?
",FRIDAY,17,28,2,26
387,SLICE_OF_LIFE,36,FRIDAY,123,350071,9.44,33724405,2532302,COMPLETED,FALSE,Snailogy,Snailords,"I like writing jokes people don't laugh at. Lighthouse for lost souls with social anxiety, depression, gender dysphoria...and more.",FRIDAY,36,47,104,27
2142,COMEDY,23,FRIDAY,16,628674,9.62,33613899,3557301,COMPLETED,TRUE,The Wolf & Red Riding Hood,XUANN,"High school student Anna wakes up one day to find that she??s super hairy, incredibly strong, and craves meat all the time. Her mom thinks it??s puberty??until Anna grows ears and a tail. Definitely not puberty. Can she figure out how to stop herself from becoming a werewolf before the full moon?","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",23,20,63,28
1758,ROMANCE,24,FRIDAY,92,503256,9.44,31102237,3515625,HIATUS,FALSE,Brimstone and Roses,Speremint,"Bea is over her ex. Absolutely, completely, over her... except that she's not. When Bea finds out that her ex is also attending her sister's wedding, Bea does what any logical person would do and summons an incredibly hot, sarcastic demon to be her date. But demons are tricky, and now hers won't leave her alone.",FRIDAY,24,30,103,29
2113,DRAMA,21,FRIDAY,90,690742,9.65,30802451,3976009,ONGOING,FALSE,Back to You,Honey B,"What if an unexpected accident suddenly transported you back to ten years ago? For Hayoung, suddenly traveling back in time to high school means the opportunity to save the life of Jaehyun, the one person she's always loved... Will she be able to change both of their fates?",FRIDAY,21,18,59,30
772,THRILLER,102,FRIDAY,17,357044,9.75,27823701,401742,COMPLETED,FALSE,Shriek,Various Artists,Prepare to swallow your screams. This horror anthology is loaded with special effects for maximum scare??just in time for Halloween.,"THURSDAY,FRIDAY",102,46,25,31
468,SUPERNATURAL,57,FRIDAY,120,125286,9.69,26346765,1133442,COMPLETED,FALSE,UndeadEd,Boredman,"After being declared clinically dead, traveling salesman Ed Zamsa tries to go on with his life regardless of his strange condition. As if things weren't hard enough without being dead.","FRIDAY,SATURDAY,SUNDAY",57,115,49,32
